"2024-07-10 at 14:11"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2024-07-10	14:11:43	3.76330e2	1.90919e1	1.69286e1	5.14702e1	1.01392e2	8.9829387e-2	1.1587464e-1	1.2099931e1	7.1095995e-1	
2024-07-10	14:11:43	3.76041e2	1.90700e1	1.69094e1	5.14736e1	1.01385e2	8.9772281e-2	1.1577832e-1	1.2096574e1	7.1917939e-1	
2024-07-10	14:11:44	3.74845e2	1.90797e1	1.69164e1	5.14636e1	1.01378e2	8.9558782e-2	1.1581271e-1	1.2079789e1	7.2105875e-1	
2024-07-10	14:11:44	3.73927e2	1.91044e1	1.69382e1	5.14669e1	1.01387e2	8.9406127e-2	1.1592143e-1	1.2083985e1	7.1739234e-1	
2024-07-10	14:11:45	3.74074e2	1.91300e1	1.69579e1	5.14702e1	1.01378e2	8.9423542e-2	1.1601537e-1	1.2090699e1	7.1838402e-1	
2024-07-10	14:11:45	3.75723e2	1.91433e1	1.69693e1	5.14736e1	1.01381e2	8.9713630e-2	1.1607134e-1	1.2088181e1	7.1463274e-1	
2024-07-10	14:11:46	3.75966e2	1.91466e1	1.69727e1	5.14669e1	1.01386e2	8.9761552e-2	1.1609077e-1	1.2089021e1	7.1221585e-1	
2024-07-10	14:11:46	3.74682e2	1.91452e1	1.69708e1	5.14636e1	1.01381e2	8.9533386e-2	1.1608058e-1	1.2083985e1	7.1930451e-1	
2024-07-10	14:11:47	3.73944e2	1.91426e1	1.69690e1	5.14669e1	1.01383e2	8.9405651e-2	1.1607158e-1	1.2082307e1	7.1957483e-1	
2024-07-10	14:11:47	3.73785e2	1.91544e1	1.69792e1	5.14669e1	1.01386e2	8.9380626e-2	1.1612278e-1	1.2089021e1	7.1800117e-1	
2024-07-10	14:11:48	3.74569e2	1.91758e1	1.69960e1	5.14636e1	1.01381e2	8.9514436e-2	1.1620509e-1	1.2078111e1	7.1882314e-1	
2024-07-10	14:11:48	3.74046e2	1.91941e1	1.70111e1	5.14636e1	1.01381e2	8.9423065e-2	1.1627930e-1	1.2099092e1	7.1455488e-1	
2024-07-10	14:11:49	3.73864e2	1.91959e1	1.70136e1	5.14702e1	1.01388e2	8.9395885e-2	1.1629164e-1	1.2085664e1	7.1231813e-1	
2024-07-10	14:11:49	3.74744e2	1.92043e1	1.70196e1	5.14636e1	1.01382e2	8.9546203e-2	1.1632144e-1	1.2112519e1	7.1871128e-1	
2024-07-10	14:11:50	3.74416e2	1.92206e1	1.70328e1	5.14636e1	1.01380e2	8.9487133e-2	1.1638557e-1	1.2086503e1	7.2038793e-1	
2024-07-10	14:11:50	3.73124e2	1.92426e1	1.70518e1	5.14636e1	1.01386e2	8.9266719e-2	1.1648088e-1	1.2073075e1	7.1793832e-1	
2024-07-10	14:11:51	3.71582e2	1.92755e1	1.70775e1	5.14669e1	1.01379e2	8.8989257e-2	1.1660492e-1	1.2097413e1	7.1846051e-1	
2024-07-10	14:11:51	3.71884e2	1.92868e1	1.70869e1	5.14636e1	1.01379e2	8.9043617e-2	1.1665236e-1	1.2078111e1	7.1414065e-1	
2024-07-10	14:11:52	3.72521e2	1.92858e1	1.70868e1	5.14636e1	1.01384e2	8.9159545e-2	1.1665296e-1	1.2080628e1	7.1294002e-1	
2024-07-10	14:11:52	3.72735e2	1.92800e1	1.70818e1	5.14636e1	1.01382e2	8.9195547e-2	1.1662781e-1	1.2108323e1	7.1881871e-1	
2024-07-10	14:11:53	3.73378e2	1.92852e1	1.70855e1	5.14703e1	1.01379e2	8.9303731e-2	1.1664360e-1	1.2077271e1	7.1952714e-1	
2024-07-10	14:11:53	3.73417e2	1.92883e1	1.70891e1	5.14703e1	1.01385e2	8.9316549e-2	1.1666315e-1	1.2083985e1	7.1837468e-1	
2024-07-10	14:11:54	3.73560e2	1.92916e1	1.70902e1	5.14702e1	1.01376e2	8.9332761e-2	1.1666619e-1	1.2087342e1	7.1874980e-1	
2024-07-10	14:11:54	3.72720e2	1.92960e1	1.70937e1	5.14736e1	1.01375e2	8.9183988e-2	1.1668193e-1	1.2101609e1	7.1506023e-1	
2024-07-10	14:11:55	3.71679e2	1.92987e1	1.70999e1	5.14703e1	1.01401e2	8.9025678e-2	1.1672073e-1	1.2074754e1	7.1102309e-1	
2024-07-10	14:11:55	3.72788e2	1.93145e1	1.71104e1	5.14636e1	1.01385e2	8.9207706e-2	1.1677008e-1	1.2085664e1	7.1916480e-1	
2024-07-10	14:11:56	3.72605e2	1.93251e1	1.71183e1	5.14669e1	1.01380e2	8.9170341e-2	1.1680674e-1	1.2087342e1	7.2077484e-1	
2024-07-10	14:11:56	3.71972e2	1.93384e1	1.71303e1	5.14702e1	1.01387e2	8.9065370e-2	1.1686700e-1	1.2077271e1	7.1824460e-1	
2024-07-10	14:11:57	3.72186e2	1.93489e1	1.71387e1	5.14703e1	1.01386e2	8.9101848e-2	1.1690801e-1	1.2079789e1	7.1927042e-1	
2024-07-10	14:11:57	3.71697e2	1.93561e1	1.71433e1	5.14702e1	1.01378e2	8.9009227e-2	1.1692887e-1	1.2089860e1	7.1588749e-1	
2024-07-10	14:11:58	3.71500e2	1.93554e1	1.71429e1	5.14702e1	1.01379e2	8.8975725e-2	1.1692738e-1	1.2094056e1	7.1342377e-1	
2024-07-10	14:11:58	3.70979e2	1.93628e1	1.71497e1	5.14703e1	1.01384e2	8.8888168e-2	1.1696177e-1	1.2075593e1	7.1462392e-1	
2024-07-10	14:11:59	3.70367e2	1.93785e1	1.71622e1	5.14669e1	1.01382e2	8.8780288e-2	1.1702442e-1	1.2069718e1	7.2369217e-1	
