File created: Wednesday, July 31, 2024  10:29:40 AM
SAMI Client Version: 2.3.5
:SAMIinfoHex
040A01202020202020202020695330313137703030303876454950469000004517300042F00000471FCE0000000000400000009D
:SAMIinfo
Firmware: 1034
Name:          iS0117p
Serial Number: 0008
Board version: vE
Board Configuration: IP
Cal1: 18432
Cal2: 2419
Cal3: 120
Cal4: 40910
Cal5: 0
Cal6: 2
:ConfigHex
E2C4B29700000C8801E1338002000E100A00000000000F000000000F000000000F000000000F0701140420010808100408100817010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
:ConfigText
Set:    7/23/2024  1:06 AM GMT(7/22/2024  6:06 PM Local Time(-7))
Wait:  53 Min. 28 Sec. 
Start: 7/23/2024  1:59 AM GMT(7/22/2024  6:59 PM Local Time(-7))
Run:  365 Days 0 Hr. 0 Min. 
Stop:  7/23/2025  1:59 AM GMT(7/22/2025  6:59 PM Local Time(-7))
Global
---
Default communications at 57.6K. 

While waiting to start
Off

SAMI
SAMI pH
Run every 1 Hr. 0 Min. 
  Cycles Between Stds=0
  #Samples Averaged=1
  #Flushes=20
  Pump On-Flush=4
  Pump Off-Flush=32
  #Reagent pumps=1
  Valve delay=8
  Pump On ind=8
  P/V Off ind=16
  #Blanks=4
  t_pump_m=8
  Pump off to Meas=16
  Meas to pump on=8
  #Measurements=23
  Salinity Delay=1
 
Device 1
Off
 
Device 2
Off
 
Device 3
Off
 
:UserText

:Data
128	3804541591	65	0	0	531
129	3804544799	67	1	0	549
10	3804544801	6525	8853	7603	7955	7904	8764	7501	7845	7815	8722	7568	7835	7876	8797	7522	8004	7753	8788	6319	7894	5510	8842	4951	7978	2629	8898	3650	7892	1205	8778	2982	7739	761	8885	3219	8003	903	8803	3577	7747	1078	8837	3787	7905	1499	8821	4660	7899	2228	8733	4875	7800	2857	8725	5350	7876	3636	8791	5644	7996	4371	8829	6442	7933	5149	8852	6426	7963	5581	8732	6824	7769	6045	8666	6185	7920	6060	8801	7134	8030	6796	8834	7096	7894	6883	8913	7341	7967	7175	8686	7017	7760	7123	8874	7444	8017	7479	8882	6778	7933	7105	8674	7138	7854	7425	8808	6896	8017	7329	6516	15559	6477
10	3804548401	6526	8747	7562	7814	7857	8949	7458	8044	7789	8928	7580	7912	7812	8802	6770	7743	7251	8853	6716	7975	5744	8776	4932	7837	2643	8720	3216	7893	1139	8849	3161	8056	883	8788	3190	7936	871	8774	3532	7998	1143	8889	3905	7951	1553	8823	4346	7815	2083	8868	5211	7906	2950	8717	5558	7711	3621	8820	6120	7822	4446	8799	6445	7903	5153	8782	6529	7825	5550	8689	6859	7786	6117	8802	6868	7948	6457	8814	6426	7929	6407	8950	7302	8010	7064	8730	6698	7788	6840	8620	6647	7840	6940	8818	7063	8111	7290	8802	7312	7897	7425	8937	7360	7974	7523	8766	7167	7702	7323	6517	15559	6481
10	3804552001	6527	8809	6021	7926	6835	8884	7565	8016	7879	8733	7172	7742	7619	8731	7515	7988	7784	8811	6656	8002	5650	8807	4882	7768	2485	8858	3637	7953	1209	8687	3127	7825	816	8908	3275	8060	951	8968	3663	7950	1192	8843	4125	7913	1636	8950	4137	8017	2123	8690	5183	7751	2950	8813	5235	7811	3557	8840	5734	7964	4363	8746	6421	7739	5092	8656	6318	7806	5530	8843	6523	8094	6002	8776	7008	7850	6460	8879	7142	8108	6814	8825	7204	7988	6978	8784	7319	7893	7174	8819	7382	7889	7315	8865	7045	7938	7220	8834	7106	7818	7291	8865	6964	7893	7284	8678	5606	7707	6314	6518	15559	6481
10	3804555601	6529	8617	7538	7721	7848	8826	7540	7806	7815	8797	7547	7920	7857	8792	6889	7815	7318	8651	6504	7805	5467	8798	4293	7887	2320	8771	3591	7831	1157	8663	3148	7876	856	8831	3252	7965	909	8788	3603	7838	1148	8642	4083	7851	1628	8794	4512	7879	2253	8804	5240	7803	2992	8662	5636	7816	3741	8821	6094	7880	4463	8771	6364	7782	5045	8797	6659	7797	5618	8807	6866	7901	6107	8784	6995	7679	6393	8782	7164	7748	6739	8838	7212	7938	6980	8717	7277	7677	7099	8831	7382	7805	7279	8852	7443	7944	7441	8731	7432	7729	7435	8808	7472	7723	7503	8907	7548	7986	7675	6519	15559	6479
10	3804559201	6531	8802	6870	7897	7465	8929	7218	8045	7714	8889	7579	8005	7861	8828	6812	7769	7151	8880	5820	7951	5158	8780	4876	7837	2524	8815	3619	7834	1169	8817	3192	7925	865	8624	3129	7648	787	8796	3564	7763	1097	8906	3957	7955	1617	8891	4610	7905	2227	8803	4974	7779	2881	8890	5227	8041	3635	8928	6116	7908	4511	8840	6460	7757	5125	8934	6407	8008	5608	8881	6437	7943	5950	8816	6645	7724	6262	8922	7210	7895	6821	8721	6701	7783	6698	8814	7132	7747	7042	8838	6888	7889	6952	8766	7347	7753	7325	8815	7461	7804	7484	8874	6775	7917	7190	8661	7392	7691	7519	6522	15559	6486
10	3804562801	6534	8793	7580	7726	7823	8785	7592	7860	7883	8642	7527	7710	7807	8870	6945	8087	7420	8797	5988	7993	5188	8782	4828	7902	2473	8807	3547	8021	1252	8956	3283	7982	912	8840	3279	7962	943	8926	3504	8087	1239	8825	4076	8026	1651	8737	4125	7812	2054	8763	4813	7881	2823	8775	5323	8086	3620	8754	6024	7828	4416	8682	6356	7855	5083	8845	6486	7902	5599	8743	6163	7761	5713	8815	7046	7892	6491	8878	7112	7972	6747	8680	7095	7728	6855	8779	7330	7699	7147	8850	7373	7992	7352	8808	7373	7954	7419	8771	7430	7883	7501	8822	7468	8024	7617	8796	6957	7882	7327	6525	15560	6486
10	3804566401	6537	8826	7223	7840	7577	8810	7514	7936	7827	8761	6953	7853	7514	8700	6673	7859	7284	8836	6780	8083	5926	8819	4772	7956	2651	8843	3388	8010	1226	8958	2937	7973	812	8819	3060	7758	794	8974	3433	8008	1135	8666	4009	7740	1544	8791	4146	7801	2039	8845	5214	7926	2984	8771	5433	7727	3589	8786	6106	7775	4450	8846	5920	7943	4899	8751	6452	7789	5548	8690	6784	7819	6079	8792	6839	8068	6467	8713	7135	7834	6772	8897	7185	8026	6978	8999	6624	8010	6806	8806	6975	7802	7093	8935	7058	8001	7274	8728	7439	7726	7459	8670	7206	7848	7409	8831	7346	7882	7508	6529	15559	6489
10	3804570001	6542	8811	7588	8094	7951	8832	7587	7964	7905	8856	7598	8080	7938	8798	7543	8016	7811	8738	6351	7845	5628	8893	4979	8056	2762	8792	3447	8047	1288	8741	3199	7815	860	8590	3166	7835	888	8854	3533	7976	1158	8655	3417	7731	1381	8844	4541	7810	2126	8951	5121	8096	2954	8924	5187	7946	3514	8816	6028	7943	4417	8832	6416	8094	5152	8802	5987	7953	5354	8683	6783	7790	6054	8678	6737	7868	6316	8798	7161	7900	6779	8792	6724	7735	6662	8814	7327	7795	7141	8879	7147	7957	7221	8942	7389	7969	7389	8794	6452	7887	6879	8872	7448	8017	7592	8812	7220	8016	7536	6533	15559	6494
10	3804573601	6547	8682	6253	7783	6954	8875	7587	8104	7932	8972	7634	7956	7900	8843	7552	7914	7786	8794	6067	7921	5281	8732	4832	7863	2562	8865	3158	8025	1207	8909	3275	7880	900	8787	3227	7788	886	8764	3423	7843	1136	8753	4100	7829	1620	8735	4296	7924	2159	8800	5130	8015	2987	8801	5060	7911	3473	8891	6108	8028	4494	8893	5747	8001	4764	8840	5523	7884	5046	8773	6885	7860	6130	8782	7035	7896	6502	8844	7178	8008	6832	8724	7231	7777	6970	8726	7049	7936	7068	8912	7426	7923	7360	8779	7410	7780	7399	8773	7400	8013	7537	8834	7291	7966	7476	8840	7509	7915	7645	6538	15559	6497
10	3804577201	6552	8926	7261	7959	7718	8781	7523	7791	7822	8923	6697	8106	7389	8950	7116	7967	7527	8827	6545	7749	5738	8858	4628	7933	2627	8729	3476	7765	1201	8809	3208	7777	853	8924	3260	8015	925	8825	3585	7783	1110	8780	4084	7761	1575	8878	4469	8012	2238	8963	5239	7939	2979	8834	5647	7944	3722	8864	6110	7993	4494	8933	5883	7947	4873	8825	6657	7963	5660	8905	5942	8034	5601	8947	7089	7950	6514	8807	7065	7918	6721	8895	6964	8107	6915	8827	7316	7958	7201	8798	7002	7898	7121	8876	7252	8096	7359	8988	7382	8010	7426	8825	7458	7924	7566	8890	6489	7992	7102	6543	15559	6499
