Year Day	Temperature C	SalinityConst	pHConstSal	Battery Voltage	DateStr	TimeStr
190.8333	21.26	35.00	7.8772	11.58	2024-07-08	20:00:01
190.8750	21.29	35.00	7.9523	11.59	2024-07-08	21:00:01
190.9167	21.34	35.00	7.9390	11.59	2024-07-08	22:00:01
190.9583	21.36	35.00	7.9728	11.59	2024-07-08	23:00:01
191.0000	21.41	35.00	8.6074	11.59	2024-07-09	00:00:01
191.0417	21.44	35.00	8.7654	11.59	2024-07-09	01:00:01
191.0833	21.46	35.00	9.0264	11.57	2024-07-09	02:00:01
191.1250	21.45	35.00	8.8759	11.53	2024-07-09	03:00:01
191.1667	21.48	35.00	9.0294	11.58	2024-07-09	04:00:01
191.2083	21.48	35.00	8.6083	11.59	2024-07-09	05:00:01
191.2500	21.48	35.00	9.0568	11.59	2024-07-09	06:00:01
191.2917	21.48	35.00	8.9489	11.59	2024-07-09	07:00:01
191.3333	21.45	35.00	9.0537	11.59	2024-07-09	08:00:01
191.3750	21.45	35.00	9.0407	11.59	2024-07-09	09:00:01
191.4167	21.45	35.00	8.8685	11.59	2024-07-09	10:00:01
191.4583	21.43	35.00	8.9306	11.58	2024-07-09	11:00:01
191.5000	21.44	35.00	8.9409	11.58	2024-07-09	12:00:01
191.5417	21.40	35.00	8.9270	11.58	2024-07-09	13:00:01
191.5833	21.38	35.00	8.8561	11.58	2024-07-09	14:00:01
191.6250	21.38	35.00	8.8153	11.58	2024-07-09	15:00:01
191.6667	21.39	35.00	8.9274	11.58	2024-07-09	16:00:01
191.7083	21.39	35.00	9.0409	11.59	2024-07-09	17:00:01
191.7500	21.39	35.00	9.0474	11.58	2024-07-09	18:00:01
191.7917	21.38	35.00	8.6756	11.58	2024-07-09	19:00:01
191.8333	21.38	35.00	9.1468	11.58	2024-07-09	20:00:01
191.8750	21.43	35.00	8.8437	11.58	2024-07-09	21:00:01
191.9167	21.44	35.00	8.5844	11.58	2024-07-09	22:00:01
191.9583	21.45	35.00	8.8396	11.58	2024-07-09	23:00:01
192.0000	21.48	35.00	0.0018	11.58	2024-07-10	00:00:01
192.0417	21.49	35.00	9.0867	11.58	2024-07-10	01:00:01
192.0833	21.48	35.00	8.8972	11.58	2024-07-10	02:00:01
192.1250	21.52	35.00	8.8483	11.58	2024-07-10	03:00:01
192.1667	21.52	35.00	9.3017	11.59	2024-07-10	04:00:01
192.2083	21.53	35.00	8.9981	11.59	2024-07-10	05:00:01
192.2500	21.54	35.00	9.0698	11.59	2024-07-10	06:00:01
192.2917	21.52	35.00	8.7664	11.59	2024-07-10	07:00:01
192.3333	21.55	35.00	8.9266	11.59	2024-07-10	08:00:01
192.3750	21.53	35.00	8.7003	11.59	2024-07-10	09:00:01
192.4167	21.52	35.00	8.8675	11.59	2024-07-10	10:00:01
192.4583	21.49	35.00	8.8882	11.59	2024-07-10	11:00:01
192.5000	21.45	35.00	8.9966	11.59	2024-07-10	12:00:01
192.5417	21.42	35.00	8.9773	11.59	2024-07-10	13:00:01
192.5833	21.41	35.00	8.6973	11.59	2024-07-10	14:00:01
192.6250	21.35	35.00	8.8485	11.59	2024-07-10	15:00:01
192.6667	21.35	35.00	0.0021	11.59	2024-07-10	16:00:01
192.7083	21.33	35.00	8.9081	11.59	2024-07-10	17:00:01
192.7500	21.32	35.00	8.7952	11.57	2024-07-10	18:00:01
192.7917	21.33	35.00	8.9747	11.58	2024-07-10	19:00:01
192.8333	21.35	35.00	8.7411	11.57	2024-07-10	20:00:01
192.8750	21.35	35.00	8.7653	11.59	2024-07-10	21:00:01
192.9167	21.39	35.00	8.8470	11.60	2024-07-10	22:00:01
192.9583	21.40	35.00	8.6451	11.59	2024-07-10	23:00:01
193.0000	21.44	35.00	8.7740	11.59	2024-07-11	00:00:01
193.0417	21.47	35.00	8.8282	11.59	2024-07-11	01:00:01
193.0833	21.48	35.00	8.4932	11.59	2024-07-11	02:00:01
193.1250	21.49	35.00	8.8786	11.59	2024-07-11	03:00:01
193.1667	21.49	35.00	0.0021	11.59	2024-07-11	04:00:01
193.2083	21.50	35.00	0.0020	11.59	2024-07-11	05:00:01
193.2500	21.47	35.00	8.7675	11.57	2024-07-11	06:00:01
193.2917	21.47	35.00	0.0022	11.56	2024-07-11	07:00:01
193.3333	21.46	35.00	8.6940	11.56	2024-07-11	08:00:01
193.3750	21.44	35.00	8.6400	11.57	2024-07-11	09:00:01
193.4167	21.42	35.00	8.7713	11.57	2024-07-11	10:00:01
193.4583	21.40	35.00	8.7209	11.57	2024-07-11	11:00:01
193.5000	21.39	35.00	8.7332	11.56	2024-07-11	12:00:01
193.5417	21.34	35.00	8.6653	11.57	2024-07-11	13:00:01
193.5833	21.34	35.00	8.8034	11.57	2024-07-11	14:00:01
193.6250	21.28	35.00	8.8087	11.56	2024-07-11	15:00:01
193.6667	21.27	35.00	8.5009	11.57	2024-07-11	16:00:01
193.7083	21.27	35.00	8.4505	11.57	2024-07-11	17:00:01
193.7500	21.29	35.00	8.7721	11.56	2024-07-11	18:00:00
