datetime,temp_c,sal_psu,odo_mg_l,depth_m,ph_mean,chlorophyll_rfu,turbidity_fnu
2024-07-31T14:09:17Z,12.776,31.84,7.69,0.67,8.18,0.6,1.39
2024-07-31T13:09:16Z,12.785,31.81,7.78,0.672,8.185,0.83,1.57
2024-07-31T12:09:15Z,12.751,31.79,7.85,0.67,8.19,0.75,2
2024-07-31T11:09:14Z,12.677,31.78,7.91,0.668,8.2,1.06,2.48
2024-07-31T10:09:13Z,18.8,0,8.73,0.021,7.855,-0.06,1.6
2024-07-31T09:09:12Z,21.471,33.69,6.76,0.611,7.98,-0.15,0.02
2024-07-31T08:09:11Z,21.47,33.68,6.75,0.611,8.11,-0.14,0.02
2024-07-31T07:09:10Z,21.471,33.68,6.75,0.607,8.11,-0.15,0.05
2024-07-31T06:09:09Z,21.47,33.68,6.75,0.604,8.11,-0.14,-0.01
2024-07-31T05:09:08Z,21.467,33.68,6.75,0.599,8.105,-0.14,0.03
2024-07-31T04:09:07Z,21.465,33.67,6.75,0.598,8.11,-0.14,0.03
2024-07-31T03:09:06Z,21.463,33.67,6.75,0.597,8.11,-0.15,0.02
2024-07-31T02:09:05Z,21.46,33.67,6.75,0.598,8.11,-0.15,0.01
2024-07-31T01:09:04Z,21.456,33.67,6.75,0.599,8.11,-0.16,-0.01
2024-07-31T00:09:03Z,21.45,33.67,6.75,0.601,8.11,-0.14,0.02
2024-07-30T23:09:02Z,21.446,33.66,6.76,0.602,8.11,-0.15,0.01
2024-07-30T22:09:01Z,21.442,33.66,6.76,0.601,8.11,-0.18,0
2024-07-30T21:09:00Z,21.435,33.66,6.77,0.599,8.11,-0.16,0
2024-07-30T20:08:59Z,21.429,33.66,6.77,0.597,8.11,-0.16,0.02
2024-07-30T19:08:58Z,21.424,33.65,6.77,0.596,8.11,-0.15,0
2024-07-30T18:08:57Z,21.415,33.65,6.77,0.593,8.11,-0.17,0.03
2024-07-30T17:08:56Z,21.407,33.65,6.77,0.594,8.11,-0.15,0.03
2024-07-30T16:08:55Z,21.396,33.65,6.77,0.593,8.11,-0.13,0.04
